#Contacts distribution
(filter dist. = -0.1, 34546 contacts, 0 excluded contacts, for 10000/10000 grains)
max_nz number_of_contacts
0.225 1.20929
0.275 1.17847
0.325 1.15638
0.375 1.13429
0.425 1.17092
0.475 1.17993
0.525 1.12237
0.575 1.15028
0.625 1.14592
0.675 1.14562
0.725 1.09621
0.775 1.15318
0.825 1.11975
0.875 1.13632
0.925 1.12324
0.975 1.04766

Contact_fabric : 0.306234 0.000740126 -0.000937444 
0.000740126 0.302087 0.00262667 
-0.000937444 0.00262667 0.39168 
Contact_anisotropy : 0.0716356

Neighbor_fabric : 0.335421 -0.00150949 0.000319554 
-0.00150949 0.336055 -0.000778204 
0.000319554 -0.000778204 0.328524 

Neighbor_anisotropy : 0.00639289

#Normal displacement distribution
eps3=-0.000100055 eps2=5.83951e-05 eps1=4.87093e-05 number of neigbors: 4267
Un_min=-6.89964e-05 Un_max=5.30834e-05
-6.86919e-05 1
-6.80831e-05 0
-6.74742e-05 0
-6.68653e-05 0
-6.62564e-05 0
-6.56475e-05 0
-6.50387e-05 0
-6.44298e-05 0
-6.38209e-05 0
-6.3212e-05 0
-6.26032e-05 0
-6.19943e-05 0
-6.13854e-05 0
-6.07765e-05 0
-6.01677e-05 0
-5.95588e-05 0
-5.89499e-05 1
-5.8341e-05 0
-5.77322e-05 0
-5.71233e-05 0
-5.65144e-05 0
-5.59055e-05 0
-5.52966e-05 0
-5.46878e-05 0
-5.40789e-05 0
-5.347e-05 0
-5.28611e-05 0
-5.22523e-05 0
-5.16434e-05 0
-5.10345e-05 0
-5.04256e-05 0
-4.98168e-05 0
-4.92079e-05 0
-4.8599e-05 0
-4.79901e-05 0
-4.73813e-05 0
-4.67724e-05 0
-4.61635e-05 0
-4.55546e-05 0
-4.49457e-05 0
-4.43369e-05 0
-4.3728e-05 0
-4.31191e-05 0
-4.25102e-05 0
-4.19014e-05 0
-4.12925e-05 0
-4.06836e-05 0
-4.00747e-05 0
-3.94659e-05 1
-3.8857e-05 0
-3.82481e-05 0
-3.76392e-05 0
-3.70304e-05 0
-3.64215e-05 0
-3.58126e-05 0
-3.52037e-05 2
-3.45948e-05 1
-3.3986e-05 0
-3.33771e-05 1
-3.27682e-05 1
-3.21593e-05 0
-3.15505e-05 0
-3.09416e-05 1
-3.03327e-05 1
-2.97238e-05 0
-2.9115e-05 1
-2.85061e-05 1
-2.78972e-05 0
-2.72883e-05 1
-2.66794e-05 0
-2.60706e-05 2
-2.54617e-05 0
-2.48528e-05 1
-2.42439e-05 2
-2.36351e-05 1
-2.30262e-05 4
-2.24173e-05 4
-2.18084e-05 5
-2.11996e-05 4
-2.05907e-05 4
-1.99818e-05 7
-1.93729e-05 5
-1.87641e-05 3
-1.81552e-05 4
-1.75463e-05 4
-1.69374e-05 8
-1.63285e-05 5
-1.57197e-05 5
-1.51108e-05 16
-1.45019e-05 12
-1.3893e-05 10
-1.32842e-05 8
-1.26753e-05 3
-1.20664e-05 8
-1.14575e-05 14
-1.08487e-05 20
-1.02398e-05 16
-9.63091e-06 20
-9.02203e-06 26
-8.41315e-06 16
-7.80428e-06 29
-7.1954e-06 31
-6.58652e-06 35
-5.97765e-06 52
-5.36877e-06 44
-4.75989e-06 68
-4.15102e-06 89
-3.54214e-06 89
-2.93326e-06 132
-2.32439e-06 138
-1.71551e-06 218
-1.10663e-06 301
-4.97758e-07 482
1.11119e-07 1369
7.19996e-07 169
1.32887e-06 135
1.93775e-06 71
2.54663e-06 76
3.1555e-06 55
3.76438e-06 56
4.37325e-06 49
4.98213e-06 35
5.59101e-06 27
6.19988e-06 33
6.80876e-06 23
7.41764e-06 26
8.02651e-06 22
8.63539e-06 23
9.24427e-06 21
9.85314e-06 12
1.0462e-05 13
1.10709e-05 10
1.16798e-05 8
1.22887e-05 8
1.28975e-05 4
1.35064e-05 6
1.41153e-05 5
1.47242e-05 6
1.5333e-05 3
1.59419e-05 3
1.65508e-05 0
1.71597e-05 6
1.77685e-05 3
1.83774e-05 3
1.89863e-05 2
1.95952e-05 2
2.0204e-05 2
2.08129e-05 2
2.14218e-05 0
2.20307e-05 1
2.26396e-05 1
2.32484e-05 3
2.38573e-05 0
2.44662e-05 1
2.50751e-05 0
2.56839e-05 0
2.62928e-05 0
2.69017e-05 3
2.75106e-05 1
2.81194e-05 0
2.87283e-05 1
2.93372e-05 0
2.99461e-05 0
3.05549e-05 1
3.11638e-05 2
3.17727e-05 1
3.23816e-05 0
3.29905e-05 1
3.35993e-05 0
3.42082e-05 1
3.48171e-05 0
3.5426e-05 0
3.60348e-05 1
3.66437e-05 1
3.72526e-05 0
3.78615e-05 0
3.84703e-05 0
3.90792e-05 0
3.96881e-05 0
4.0297e-05 0
4.09058e-05 1
4.15147e-05 0
4.21236e-05 0
4.27325e-05 0
4.33414e-05 0
4.39502e-05 0
4.45591e-05 0
4.5168e-05 0
4.57769e-05 0
4.63857e-05 0
4.69946e-05 0
4.76035e-05 0
4.82124e-05 0
4.88212e-05 0
4.94301e-05 0
5.0039e-05 0
5.06479e-05 0
5.12567e-05 0
5.18656e-05 0
5.24745e-05 0
5.30834e-05 1

#Normal displacement distribution
eps3=-0.000100055 eps2=5.83951e-05 eps1=4.87093e-05 number of neigbors: 4844
Un_min=-9.88861e-05 Un_max=0.000100489
-9.83889e-05 1
-9.73946e-05 0
-9.64002e-05 0
-9.54058e-05 0
-9.44114e-05 0
-9.3417e-05 1
-9.24226e-05 0
-9.14282e-05 0
-9.04338e-05 0
-8.94395e-05 0
-8.84451e-05 0
-8.74507e-05 0
-8.64563e-05 0
-8.54619e-05 0
-8.44675e-05 0
-8.34731e-05 0
-8.24787e-05 0
-8.14844e-05 0
-8.049e-05 0
-7.94956e-05 0
-7.85012e-05 0
-7.75068e-05 0
-7.65124e-05 0
-7.5518e-05 0
-7.45236e-05 0
-7.35293e-05 0
-7.25349e-05 0
-7.15405e-05 0
-7.05461e-05 0
-6.95517e-05 0
-6.85573e-05 0
-6.75629e-05 0
-6.65685e-05 1
-6.55742e-05 0
-6.45798e-05 0
-6.35854e-05 1
-6.2591e-05 0
-6.15966e-05 3
-6.06022e-05 0
-5.96078e-05 0
-5.86134e-05 1
-5.76191e-05 1
-5.66247e-05 0
-5.56303e-05 1
-5.46359e-05 0
-5.36415e-05 0
-5.26471e-05 1
-5.16527e-05 1
-5.06583e-05 0
-4.9664e-05 1
-4.86696e-05 0
-4.76752e-05 0
-4.66808e-05 1
-4.56864e-05 0
-4.4692e-05 1
-4.36976e-05 0
-4.27033e-05 0
-4.17089e-05 1
-4.07145e-05 3
-3.97201e-05 0
-3.87257e-05 2
-3.77313e-05 2
-3.67369e-05 3
-3.57425e-05 4
-3.47482e-05 1
-3.37538e-05 1
-3.27594e-05 4
-3.1765e-05 2
-3.07706e-05 3
-2.97762e-05 2
-2.87818e-05 2
-2.77874e-05 4
-2.67931e-05 3
-2.57987e-05 4
-2.48043e-05 6
-2.38099e-05 2
-2.28155e-05 4
-2.18211e-05 5
-2.08267e-05 6
-1.98323e-05 2
-1.8838e-05 7
-1.78436e-05 12
-1.68492e-05 10
-1.58548e-05 8
-1.48604e-05 7
-1.3866e-05 10
-1.28716e-05 12
-1.18772e-05 16
-1.08829e-05 21
-9.88847e-06 29
-8.89408e-06 40
-7.8997e-06 46
-6.90531e-06 49
-5.91092e-06 50
-4.91653e-06 94
-3.92215e-06 87
-2.92776e-06 159
-1.93337e-06 235
-9.38985e-07 402
5.54028e-08 1513
1.04979e-06 640
2.04418e-06 352
3.03856e-06 208
4.03295e-06 142
5.02734e-06 112
6.02173e-06 79
7.01611e-06 77
8.0105e-06 49
9.00489e-06 43
9.99928e-06 44
1.09937e-05 28
1.19881e-05 32
1.29824e-05 15
1.39768e-05 10
1.49712e-05 11
1.59656e-05 16
1.696e-05 6
1.79544e-05 13
1.89488e-05 10
1.99431e-05 8
2.09375e-05 6
2.19319e-05 6
2.29263e-05 2
2.39207e-05 1
2.49151e-05 2
2.59095e-05 3
2.69039e-05 0
2.78982e-05 2
2.88926e-05 2
2.9887e-05 1
3.08814e-05 0
3.18758e-05 2
3.28702e-05 1
3.38646e-05 1
3.4859e-05 1
3.58533e-05 3
3.68477e-05 0
3.78421e-05 0
3.88365e-05 4
3.98309e-05 0
4.08253e-05 1
4.18197e-05 1
4.28141e-05 1
4.38084e-05 1
4.48028e-05 1
4.57972e-05 0
4.67916e-05 0
4.7786e-05 0
4.87804e-05 1
4.97748e-05 1
5.07692e-05 2
5.17635e-05 0
5.27579e-05 0
5.37523e-05 2
5.47467e-05 1
5.57411e-05 0
5.67355e-05 0
5.77299e-05 0
5.87243e-05 0
5.97186e-05 0
6.0713e-05 0
6.17074e-05 1
6.27018e-05 0
6.36962e-05 2
6.46906e-05 1
6.5685e-05 1
6.66794e-05 2
6.76737e-05 0
6.86681e-05 0
6.96625e-05 0
7.06569e-05 2
7.16513e-05 0
7.26457e-05 0
7.36401e-05 0
7.46344e-05 0
7.56288e-05 0
7.66232e-05 1
7.76176e-05 0
7.8612e-05 0
7.96064e-05 0
8.06008e-05 0
8.15952e-05 0
8.25895e-05 0
8.35839e-05 0
8.45783e-05 0
8.55727e-05 0
8.65671e-05 0
8.75615e-05 0
8.85559e-05 0
8.95503e-05 0
9.05446e-05 0
9.1539e-05 0
9.25334e-05 0
9.35278e-05 0
9.45222e-05 0
9.55166e-05 1
9.6511e-05 0
9.75054e-05 0
9.84997e-05 0
9.94941e-05 0
0.000100489 1

#Normal displacement distribution
eps3=-0.000100055 eps2=5.83951e-05 eps1=4.87093e-05 number of neigbors: 6816
Un_min=-6.69247e-05 Un_max=5.81772e-05
-6.66128e-05 1
-6.59888e-05 0
-6.53649e-05 0
-6.47409e-05 0
-6.4117e-05 0
-6.3493e-05 0
-6.28691e-05 0
-6.22451e-05 0
-6.16212e-05 0
-6.09972e-05 0
-6.03733e-05 0
-5.97493e-05 0
-5.91254e-05 0
-5.85014e-05 0
-5.78775e-05 0
-5.72535e-05 0
-5.66296e-05 0
-5.60056e-05 0
-5.53817e-05 0
-5.47577e-05 0
-5.41338e-05 0
-5.35098e-05 0
-5.28859e-05 0
-5.22619e-05 0
-5.1638e-05 0
-5.1014e-05 0
-5.03901e-05 0
-4.97661e-05 0
-4.91422e-05 0
-4.85182e-05 0
-4.78943e-05 0
-4.72703e-05 0
-4.66464e-05 0
-4.60224e-05 0
-4.53985e-05 0
-4.47745e-05 0
-4.41506e-05 0
-4.35266e-05 0
-4.29027e-05 0
-4.22787e-05 1
-4.16548e-05 0
-4.10308e-05 0
-4.04069e-05 2
-3.97829e-05 0
-3.9159e-05 0
-3.8535e-05 0
-3.79111e-05 1
-3.72871e-05 0
-3.66632e-05 0
-3.60392e-05 0
-3.54153e-05 1
-3.47913e-05 0
-3.41674e-05 0
-3.35434e-05 0
-3.29195e-05 0
-3.22955e-05 0
-3.16716e-05 0
-3.10476e-05 0
-3.04237e-05 0
-2.97997e-05 0
-2.91758e-05 2
-2.85518e-05 0
-2.79279e-05 1
-2.73039e-05 1
-2.668e-05 1
-2.6056e-05 1
-2.54321e-05 2
-2.48081e-05 2
-2.41842e-05 2
-2.35602e-05 1
-2.29363e-05 2
-2.23123e-05 2
-2.16884e-05 2
-2.10644e-05 1
-2.04405e-05 5
-1.98165e-05 5
-1.91926e-05 8
-1.85686e-05 5
-1.79447e-05 6
-1.73207e-05 4
-1.66968e-05 9
-1.60728e-05 4
-1.54489e-05 8
-1.48249e-05 9
-1.4201e-05 13
-1.3577e-05 10
-1.29531e-05 12
-1.23291e-05 12
-1.17052e-05 13
-1.10812e-05 20
-1.04573e-05 16
-9.83332e-06 22
-9.20937e-06 23
-8.58542e-06 20
-7.96147e-06 39
-7.33752e-06 38
-6.71357e-06 50
-6.08962e-06 54
-5.46567e-06 72
-4.84172e-06 87
-4.21777e-06 89
-3.59382e-06 102
-2.96987e-06 126
-2.34592e-06 192
-1.72197e-06 248
-1.09802e-06 403
-4.74071e-07 764
1.49879e-07 2503
7.73829e-07 438
1.39778e-06 261
2.02173e-06 164
2.64568e-06 143
3.26963e-06 108
3.89358e-06 84
4.51753e-06 70
5.14148e-06 53
5.76543e-06 48
6.38938e-06 46
7.01333e-06 42
7.63728e-06 39
8.26123e-06 28
8.88518e-06 26
9.50913e-06 25
1.01331e-05 28
1.0757e-05 30
1.1381e-05 16
1.20049e-05 15
1.26289e-05 16
1.32528e-05 9
1.38768e-05 11
1.45007e-05 7
1.51247e-05 13
1.57486e-05 4
1.63726e-05 6
1.69965e-05 10
1.76205e-05 4
1.82444e-05 1
1.88684e-05 3
1.94923e-05 2
2.01163e-05 5
2.07402e-05 1
2.13642e-05 2
2.19881e-05 1
2.26121e-05 5
2.3236e-05 2
2.386e-05 2
2.44839e-05 0
2.51079e-05 3
2.57318e-05 2
2.63558e-05 2
2.69797e-05 1
2.76037e-05 1
2.82276e-05 2
2.88516e-05 0
2.94755e-05 0
3.00995e-05 2
3.07234e-05 1
3.13474e-05 1
3.19713e-05 0
3.25953e-05 2
3.32192e-05 2
3.38432e-05 0
3.44671e-05 0
3.50911e-05 0
3.5715e-05 0
3.6339e-05 1
3.69629e-05 2
3.75869e-05 0
3.82108e-05 2
3.88348e-05 1
3.94587e-05 0
4.00827e-05 0
4.07066e-05 1
4.13306e-05 0
4.19545e-05 0
4.25785e-05 0
4.32024e-05 0
4.38264e-05 1
4.44503e-05 0
4.50743e-05 0
4.56982e-05 0
4.63222e-05 0
4.69461e-05 0
4.75701e-05 0
4.8194e-05 0
4.8818e-05 0
4.94419e-05 0
5.00659e-05 0
5.06898e-05 0
5.13138e-05 0
5.19377e-05 1
5.25617e-05 0
5.31856e-05 0
5.38096e-05 1
5.44335e-05 0
5.50575e-05 0
5.56814e-05 0
5.63054e-05 1
5.69293e-05 0
5.75533e-05 0
5.81772e-05 1

